County name,State,Urban Rural Code,Deaths involving COVID-19
Mercer County,IL,Medium metro,25
Monroe County,IL,Large fringe metro,51
Montgomery County,IL,Noncore,95
Morgan County,IL,Micropolitan,166
Moultrie County,IL,Noncore,17
Ogle County,IL,Micropolitan,68
Peoria County,IL,Medium metro,1296
Perry County,IL,Noncore,60
Piatt County,IL,Small metro,21
Pike County,IL,Noncore,66
Pope County,IL,Noncore,
Pulaski County,IL,Noncore,
Putnam County,IL,Micropolitan,
Randolph County,IL,Noncore,115
Richland County,IL,Noncore,93
Rock Island County,IL,Medium metro,548
St. Clair County,IL,Large fringe metro,797
Saline County,IL,Noncore,107
Sangamon County,IL,Small metro,783
Schuyler County,IL,Noncore,24
Scott County,IL,Micropolitan,
Shelby County,IL,Noncore,33
Stark County,IL,Medium metro,20
Stephenson County,IL,Micropolitan,217
Tazewell County,IL,Medium metro,228
Union County,IL,Noncore,38
Vermilion County,IL,Small metro,228
Wabash County,IL,Noncore,24
Warren County,IL,Noncore,45
Washington County,IL,Noncore,33
Wayne County,IL,Noncore,64
White County,IL,Noncore,36
Whiteside County,IL,Micropolitan,275
Will County,IL,Large fringe metro,1416
Williamson County,IL,Small metro,359
Winnebago County,IL,Medium metro,1093
Woodford County,IL,Medium metro,77
Adams County,IN,Micropolitan,73
Allen County,IN,Medium metro,2041
Bartholomew County,IN,Small metro,335
Benton County,IN,Small metro,
Blackford County,IN,Noncore,29
Boone County,IN,Large fringe metro,191
Brown County,IN,Large fringe metro,35
Carroll County,IN,Small metro,22
Cass County,IN,Micropolitan,118
Clark County,IN,Large fringe metro,338
Clay County,IN,Small metro,44
Clinton County,IN,Micropolitan,61
Crawford County,IN,Noncore,11
Daviess County,IN,Micropolitan,103
Dearborn County,IN,Large fringe metro,157
Decatur County,IN,Micropolitan,108
DeKalb County,IN,Micropolitan,114
Delaware County,IN,Small metro,633
Dubois County,IN,Micropolitan,180
Elkhart County,IN,Small metro,765
Fayette County,IN,Micropolitan,61
Floyd County,IN,Large fringe metro,519
Fountain County,IN,Noncore,41
Franklin County,IN,Noncore,14
Fulton County,IN,Noncore,73
Gibson County,IN,Noncore,65
Grant County,IN,Micropolitan,300
Greene County,IN,Noncore,100
